state,county,NAME,median_income,population,year
31,103,"Keya Paha County, Nebraska",38125.0,763,2011
31,105,"Kimball County, Nebraska",43191.0,3794,2011
31,111,"Lincoln County, Nebraska",49521.0,36199,2011
31,139,"Pierce County, Nebraska",51205.0,7267,2011
31,165,"Sioux County, Nebraska",42386.0,1336,2011
31,021,"Burt County, Nebraska",45813.0,6901,2011
31,025,"Cass County, Nebraska",63608.0,25230,2011
31,039,"Cuming County, Nebraska",46847.0,9194,2011
31,051,"Dixon County, Nebraska",44840.0,5996,2011
31,057,"Dundy County, Nebraska",40278.0,1988,2011
31,075,"Grant County, Nebraska",39531.0,671,2011
31,077,"Greeley County, Nebraska",42396.0,2530,2011
31,079,"Hall County, Nebraska",47469.0,57748,2011
31,085,"Hayes County, Nebraska",45536.0,979,2011
31,131,"Otoe County, Nebraska",50000.0,15751,2011
31,145,"Red Willow County, Nebraska",42627.0,11039,2011
31,027,"Cedar County, Nebraska",42857.0,8839,2011
31,045,"Dawes County, Nebraska",36396.0,9180,2011
31,097,"Johnson County, Nebraska",43643.0,5200,2011
31,033,"Cheyenne County, Nebraska",50143.0,10056,2011
31,047,"Dawson County, Nebraska",45038.0,24261,2011
31,071,"Garfield County, Nebraska",38973.0,2105,2011
31,117,"McPherson County, Nebraska",57917.0,411,2011
31,125,"Nance County, Nebraska",43399.0,3742,2011
31,167,"Stanton County, Nebraska",49236.0,6167,2011
31,175,"Valley County, Nebraska",42897.0,4253,2011
32,001,"Churchill County, Nevada",52589.0,24904,2011
32,005,"Douglas County, Nevada",60383.0,47058,2011
32,027,"Pershing County, Nevada",56473.0,6720,2011
32,011,"Eureka County, Nevada",61908.0,1778,2011
32,013,"Humboldt County, Nevada",54943.0,16249,2011
32,033,"White Pine County, Nevada",49812.0,9884,2011
32,007,"Elko County, Nevada",69459.0,48390,2011
32,023,"Nye County, Nevada",39740.0,44052,2011
32,029,"Storey County, Nevada",59386.0,4011,2011
32,003,"Clark County, Nevada",55961.0,1928695,2011
32,019,"Lyon County, Nevada",46598.0,51937,2011
33,005,"Cheshire County, New Hampshire",55241.0,77301,2011
